127.0.0.1 - - [04/Jul/2016:21:48:56 -0400] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [04/Jul/2016:21:49:47 -0400] "GET /rad/amazonAction.action HTTP/1.1" 200 12602
0:0:0:0:0:0:0:1 - - [04/Jul/2016:21:49:47 -0400] "GET /rad/struts/js/base/jquery-1.11.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:21:49:47 -0400] "GET /rad/struts/js/base/jquery.ui.core.min.js?s2j=3.7.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:21:49:47 -0400] "GET /rad/struts/js/plugins/jquery.subscribe.min.js?s2j=3.7.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:21:49:47 -0400] "GET /rad/struts/themes/cupertino/jquery-ui.css?s2j=3.7.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:21:49:47 -0400] "GET /rad/web/css/styles.css;jsessionid=452C7707AFE7B7ECFDE5388743F286DD HTTP/1.1" 200 6807
0:0:0:0:0:0:0:1 - - [04/Jul/2016:21:49:47 -0400] "GET /rad/struts/js/struts2/jquery.struts2.min.js?s2j=3.7.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:21:49:47 -0400] "GET /rad/web/css/reset.css;jsessionid=452C7707AFE7B7ECFDE5388743F286DD HTTP/1.1" 200 1318
0:0:0:0:0:0:0:1 - - [04/Jul/2016:21:49:47 -0400] "GET /rad/web/images/rad.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:21:49:48 -0400] "GET /rad/struts/js/struts2/jquery.ui.struts2.min.js?s2j=3.7.1&s2j=3.7.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:21:49:48 -0400] "GET /rad/struts/js/struts2/jquery.grid.struts2.min.js?s2j=3.7.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:21:49:48 -0400] "GET /rad/struts/i18n/grid.locale-en.js?s2j=3.7.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:21:49:48 -0400] "GET /rad/struts/js/plugins/jquery.jqGrid.min.js?s2j=3.7.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:21:49:48 -0400] "GET /rad/struts/themes/ui.jqgrid.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:21:49:48 -0400] "GET /rad/web/images/selectedPage_icon.png HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [04/Jul/2016:21:49:48 -0400] "GET /rad/struts/themes/cupertino/images/ui-bg_glass_50_3baae3_1x400.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:21:49:48 -0400] "GET /rad/struts/themes/cupertino/images/ui-bg_highlight-hard_100_f2f5f7_1x100.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:21:49:48 -0400] "GET /rad/struts/themes/cupertino/images/ui-bg_diagonals-thick_90_eeeeee_40x40.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:21:49:48 -0400] "GET /rad/struts/themes/cupertino/images/ui-bg_glass_80_d7ebf9_1x400.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:21:49:48 -0400] "GET /rad/struts/themes/cupertino/images/ui-icons_3d80b3_256x240.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:21:49:48 -0400] "GET /rad/struts/themes/cupertino/images/ui-icons_72a7cf_256x240.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:21:49:48 -0400] "GET /rad/struts/themes/cupertino/images/ui-bg_highlight-soft_100_deedf7_1x100.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:21:49:48 -0400] "GET /rad/web/images/favicon.ico;jsessionid=452C7707AFE7B7ECFDE5388743F286DD HTTP/1.1" 404 1134
0:0:0:0:0:0:0:1 - - [04/Jul/2016:21:50:02 -0400] "POST /rad/amazonAction.action;jsessionid=452C7707AFE7B7ECFDE5388743F286DD HTTP/1.1" 200 12129
0:0:0:0:0:0:0:1 - - [04/Jul/2016:21:50:03 -0400] "GET /rad/web/css/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:21:50:03 -0400] "GET /rad/web/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:21:50:03 -0400] "GET /rad/web/images/selectedPage_icon.png HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [04/Jul/2016:21:50:03 -0400] "GET /rad/web/images/favicon.ico HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [04/Jul/2016:21:50:04 -0400] "GET /rad/struts/themes/cupertino/images/ui-bg_glass_100_e4f1fb_1x400.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:21:50:10 -0400] "GET /rad/amazonGridJson.action?keyword=xbox&&_search=false&nd=1467683403241&rows=20&page=1&sidx=&sord=asc&_=1467683403075 HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [04/Jul/2016:21:50:11 -0400] "GET /rad/struts/js/base/jquery.ui.widget.min.js?s2j=3.7.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:21:50:11 -0400] "GET /rad/struts/js/base/jquery.ui.mouse.min.js?s2j=3.7.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:21:50:11 -0400] "GET /rad/struts/js/base/jquery.ui.resizable.min.js?s2j=3.7.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:21:50:37 -0400] "POST /rad/amazonAction.action HTTP/1.1" 200 12129
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:02:22 -0400] "GET /rad/amazonGridJson.action?keyword=xbox&&_search=false&nd=1467683438256&rows=20&page=1&sidx=&sord=asc&_=1467683438048 HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:05:48 -0400] "GET /rad/amazonAction.action HTTP/1.1" 200 12117
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:05:54 -0400] "POST /rad/amazonAction.action HTTP/1.1" 200 12129
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:06:04 -0400] "GET /rad/amazonGridJson.action?keyword=xbox&&_search=false&nd=1467684355482&rows=20&page=1&sidx=&sord=asc&_=1467684354552 HTTP/1.1" 200 4387
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:06:25 -0400] "POST /rad/amazonAction.action HTTP/1.1" 200 12138
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:06:36 -0400] "GET /rad/amazonGridJson.action?keyword=xbox360&&_search=false&nd=1467684386101&rows=20&page=1&sidx=&sord=asc&_=1467684385855 HTTP/1.1" 200 4092
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:06:50 -0400] "GET /rad/struts/themes/cupertino/images/ui-bg_highlight-soft_25_ffef8f_1x100.png HTTP/1.1" 200 394
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:08:44 -0400] "POST /rad/amazonAction.action HTTP/1.1" 200 11898
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:08:44 -0400] "GET /rad/struts/js/base/jquery.ui.core.min.js?s2j=3.7.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:08:44 -0400] "GET /rad/struts/js/struts2/jquery.struts2.min.js?s2j=3.7.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:08:44 -0400] "GET /rad/struts/themes/cupertino/jquery-ui.css?s2j=3.7.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:08:44 -0400] "GET /rad/web/css/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:08:44 -0400] "GET /rad/struts/js/base/jquery-1.11.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:08:44 -0400] "GET /rad/web/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:08:44 -0400] "GET /rad/web/images/rad.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:08:44 -0400] "GET /rad/struts/js/plugins/jquery.subscribe.min.js?s2j=3.7.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:08:44 -0400] "GET /rad/struts/js/struts2/jquery.ui.struts2.min.js?s2j=3.7.1&s2j=3.7.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:08:44 -0400] "GET /rad/struts/js/struts2/jquery.grid.struts2.min.js?s2j=3.7.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:08:44 -0400] "GET /rad/struts/i18n/grid.locale-en.js?s2j=3.7.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:08:44 -0400] "GET /rad/struts/js/plugins/jquery.jqGrid.min.js?s2j=3.7.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:08:44 -0400] "GET /rad/struts/themes/ui.jqgrid.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:08:45 -0400] "GET /rad/amazonGridJson.action?keyword=xbox360&&_search=false&nd=1467684524856&rows=20&page=1&sidx=&sord=asc&_=1467684524524 HTTP/1.1" 200 4092
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:08:49 -0400] "POST /rad/amazonAction.action HTTP/1.1" 200 11898
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:08:50 -0400] "GET /rad/amazonGridJson.action?keyword=xbox360&&_search=false&nd=1467684530138&rows=20&page=1&sidx=&sord=asc&_=1467684530059 HTTP/1.1" 200 4092
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:08:55 -0400] "POST /rad/amazonAction.action HTTP/1.1" 200 11896
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:08:56 -0400] "GET /rad/amazonGridJson.action?keyword=Gandhi&&_search=false&nd=1467684536094&rows=20&page=1&sidx=&sord=asc&_=1467684536017 HTTP/1.1" 200 4381
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:16:08 -0400] "POST /rad/amazonAction.action HTTP/1.1" 200 11913
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:16:08 -0400] "GET /rad/struts/js/base/jquery-1.11.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:16:08 -0400] "GET /rad/struts/js/base/jquery.ui.core.min.js?s2j=3.7.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:16:08 -0400] "GET /rad/struts/js/plugins/jquery.subscribe.min.js?s2j=3.7.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:16:08 -0400] "GET /rad/struts/js/struts2/jquery.struts2.min.js?s2j=3.7.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:16:08 -0400] "GET /rad/web/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:16:08 -0400] "GET /rad/struts/themes/cupertino/jquery-ui.css?s2j=3.7.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:16:08 -0400] "GET /rad/web/images/rad.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:16:08 -0400] "GET /rad/web/css/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:16:08 -0400] "GET /rad/struts/js/struts2/jquery.ui.struts2.min.js?s2j=3.7.1&s2j=3.7.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:16:08 -0400] "GET /rad/struts/js/struts2/jquery.grid.struts2.min.js?s2j=3.7.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:16:08 -0400] "GET /rad/struts/i18n/grid.locale-en.js?s2j=3.7.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:16:08 -0400] "GET /rad/struts/js/plugins/jquery.jqGrid.min.js?s2j=3.7.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:16:08 -0400] "GET /rad/struts/themes/ui.jqgrid.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:16:09 -0400] "GET /rad/amazonGridJson.action?keyword=Gandhi&&_search=false&nd=1467684968836&rows=20&page=1&sidx=&sord=asc&_=1467684968544 HTTP/1.1" 200 4381
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:16:52 -0400] "POST /rad/amazonAction.action HTTP/1.1" 200 11913
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:16:53 -0400] "GET /rad/struts/js/base/jquery-1.11.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:16:53 -0400] "GET /rad/struts/js/base/jquery.ui.core.min.js?s2j=3.7.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:16:53 -0400] "GET /rad/struts/js/plugins/jquery.subscribe.min.js?s2j=3.7.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:16:53 -0400] "GET /rad/web/css/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:16:53 -0400] "GET /rad/struts/themes/cupertino/jquery-ui.css?s2j=3.7.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:16:53 -0400] "GET /rad/struts/js/struts2/jquery.struts2.min.js?s2j=3.7.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:16:53 -0400] "GET /rad/web/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:16:53 -0400] "GET /rad/web/images/rad.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:16:53 -0400] "GET /rad/struts/themes/ui.jqgrid.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:16:54 -0400] "GET /rad/amazonGridJson.action?keyword=Gandhi&&_search=false&nd=1467685013533&rows=20&page=1&sidx=&sord=asc&_=1467685013300 HTTP/1.1" 200 4381
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:18:29 -0400] "POST /rad/amazonAction.action HTTP/1.1" 200 11923
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:18:29 -0400] "GET /rad/struts/js/base/jquery.ui.core.min.js?s2j=3.7.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:18:29 -0400] "GET /rad/struts/js/base/jquery-1.11.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:18:29 -0400] "GET /rad/struts/js/plugins/jquery.subscribe.min.js?s2j=3.7.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:18:29 -0400] "GET /rad/struts/js/struts2/jquery.struts2.min.js?s2j=3.7.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:18:29 -0400] "GET /rad/struts/themes/cupertino/jquery-ui.css?s2j=3.7.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:18:29 -0400] "GET /rad/web/css/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:18:29 -0400] "GET /rad/web/css/styles.css HTTP/1.1" 200 6908
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:18:29 -0400] "GET /rad/web/images/rad.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:18:30 -0400] "GET /rad/struts/themes/ui.jqgrid.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:18:30 -0400] "GET /rad/web/images/selectedPage_icon.png HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [04/Jul/2016:22:18:30 -0400] "GET /rad/amazonGridJson.action?keyword=Gandhi&&_search=false&nd=1467685110353&rows=20&page=1&sidx=&sord=asc&_=1467685110066 HTTP/1.1" 200 4381
